neuron,category,formula,threshold
149,(scene OR scene OR scene),(viaduct-s OR rope bridge-s OR boathouse-s),4.5
150,(scene OR object OR scene),(landing deck-s OR plane OR gazebo-exterior-s),3.5
151,(scene OR object OR scene),(shopping mall-indoor-s OR greenhouse OR atrium-public-s),3.8
152,(scene OR scene OR object),(lighthouse-s OR snowfield-s OR ice),3.7
153,(scene OR scene OR scene),(kitchen-s OR alcove-s OR poolroom-home-s),6.5
154,((scene AND object) OR object),((mountain snowy-s AND mountain) OR greenhouse),4.9
155,(object OR scene OR scene),(case OR hayfield-s OR supermarket-s),4.7
156,(scene OR object OR scene),(cockpit-s OR toilet OR sauna-s),4.5
157,(object OR object OR scene),(book OR bookcase OR classroom-s),4.4
158,(color AND scene AND object),(white-c AND street-s AND sky),4.8
159,(scene OR scene OR scene),(television studio-s OR cockpit-s OR music studio-s),4.8
160,(object OR object OR scene),(grandstand OR pitch OR batters box-s),3.8
161,(part OR scene OR scene),(shop window OR supermarket-s OR gas station-s),4.9
162,(object OR scene OR part),(cushion OR sandbox-s OR headboard),4.2
163,(scene OR scene OR scene),(airport terminal-s OR cafeteria-s OR assembly line-s),4.7
164,(object OR object OR scene),(sea OR aircraft carrier OR flight of stairs-natural-s),4.3
165,(part OR scene OR object),(garage door OR hangar-outdoor-s OR stage),5.2
166,(scene OR scene OR object),(beach-s OR sandbox-s OR sales booth),3.4
167,(object OR object OR object),(railroad train OR railway OR tracks),3.9
168,(object OR object OR scene),(car OR truck OR industrial park-s),4.3
169,(scene OR scene OR scene),(amphitheater-s OR greenhouse-indoor-s OR greenhouse-outdoor-s),4.5
170,((scene AND color) OR scene),((highway-s AND grey-c) OR bullring-s),4.7
171,((object OR object) AND scene),((car OR autobus) AND street-s),5.3
172,((object AND scene) OR object),((car AND street-s) OR autobus),5.2
173,(scene OR scene OR scene),(closet-s OR cockpit-s OR clothing store-s),3.7
174,((scene OR scene) AND NOT object),((conference room-s OR gymnasium-indoor-s) AND NOT ceiling),4.5
175,(object OR object OR scene),(tent OR escalator OR car interior-backseat-s),3.8
176,(scene OR scene OR object),(castle-s OR temple-east asia-s OR acropolis),4.2
177,(object OR object OR scene),(grandstand OR animal OR sandbar-s),3.6
178,(scene OR scene OR scene),(balcony-interior-s OR plaza-s OR quadrangle-s),4.4
179,(scene OR scene OR scene),(cathedral-indoor-s OR throne room-s OR excavation-s),4.5
180,(object OR object OR object),(plant OR palm OR flower),6.5
181,((scene AND object) OR object),((street-s AND tree) OR water tower),5.1
182,(scene OR scene OR scene),(market-outdoor-s OR bazaar-outdoor-s OR market-indoor-s),4.0
183,(scene OR scene OR scene),(nursery-s OR childs room-s OR playroom-s),5.1
184,((object AND scene) OR object),((chair AND dining room-s) OR horse),5.0
185,(object OR scene OR scene),(person OR water tower-s OR catwalk-s),3.0
186,(scene OR scene OR scene),(church-indoor-s OR cathedral-indoor-s OR temple-east asia-s),3.9
187,(object OR object OR object),(bench OR stairs OR stairway),5.2
188,(color OR scene OR object),(red-c OR television studio-s OR inflatable bounce game),3.5
189,((scene OR scene) AND NOT object),((attic-s OR oast house-s) AND NOT bed),5.6
190,(scene OR scene OR scene),(swimming pool-outdoor-s OR jacuzzi-indoor-s OR jacuzzi-outdoor-s),4.3
191,(scene OR object OR scene),(bakery-shop-s OR fireplace OR workshop-s),4.3
192,(object OR object OR object),(skyscraper OR lighthouse OR water tower),4.7
193,(object OR object OR object),(cradle OR aqueduct OR pier),3.7
194,(scene OR object OR object),(carrousel-s OR rubbish OR carousel),3.4
195,(object OR object OR object),(cradle OR railing OR hovel),4.4
196,(scene OR object OR object),(gazebo-exterior-s OR cradle OR tent),5.0
197,(object OR scene OR scene),(pool table OR parking garage-indoor-s OR bowling alley-s),5.2
198,(scene OR object OR scene),(fire escape-s OR bridge OR staircase-s),4.3
199,(scene OR part OR object),(castle-s OR headboard OR pillow),5.5
200,(scene OR scene OR scene),(corridor-s OR supermarket-s OR martial arts gym-s),3.7
201,((scene AND object) OR object),((street-s AND tree) OR fountain),4.7
202,(scene OR scene OR scene),(cockpit-s OR airplane cabin-s OR theater-indoor procenium-s),4.1
